row_number,gb_id,title,subtitle,authors,publisher,published_date,language,page_count,categories,isbn10,isbn13,price_amount,price_currency,thumbnail,search_method,goodreads_title,goodreads_author
1,n7OsEAAAQBAJ,"Barbacoa, Bomba, and Betrayal",,Raquel V. Reyes,Crooked Lane Books,2023-11-07,en,295,Fiction,1639105255,9781639105250,15.38,EUR,http://books.google.com/books/content?id=n7OsEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,title_author,"Barbacoa, Bomba, and Betrayal (A Caribbean Kitchen Mystery, #3)",Raquel V. Reyes
2,wMxRuFxDTGoC,The Tex-Mex Grill and Backyard Barbacoa Cookbook,More Than 85 Sizzling Recipes,Robb Walsh,Ten Speed Press,2011-12-07,en,501,Cooking,1607743728,9781607743729,6.71,EUR,http://books.google.com/books/content?id=wMxRuFxDTGoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,title_author,The Tex-Mex Grill and Backyard Barbacoa Cookbook: More Than 85 Sizzling Recipes,Robb Walsh
3,,,,,,,,,,,,,,,not_found,Por qué el espacio huele a barbacoa: Y otras preguntas que solo un astronauta puede responder (No Ficción) (Spanish Edition),"Tim Peake,Gemma Deza Guil(Translator)"
4,MjJ0EQAAQBAJ,Barbacoa,,Erik Orrantia,Dreamspinner Press,2014-10-24,en,219,Fiction,1632161206,9781632161208,6,EUR,http://books.google.com/books/content?id=MjJ0EQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,title_author,Barbacoa,Erik Orrantia
5,VhYSEQAAQBAJ,Barbacoa,The Heart of Tex-Mex Barbecue,Brandon Hurtado,Harvard Common Press,2025-04-01,en,242,Cooking,0760392749,9780760392744,35.99,EUR,http://books.google.com/books/content?id=VhYSEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,title_author,Barbacoa: The Heart of Tex-Mex Barbecue,Brandon Hurtado
6,,,,,,,,,,,,,,,not_found,Mi Diario de Barbacoas: Cuaderno Único para Registrar tus Barbacoas | Apunta el Tipo de Carne o Leña Utilizada Entre Otros Detalles | Regalo Perfecto ... de las Barbacoas o Asados,Diario de Barbacoa
7,,,,,,,,,,,,,,,not_found,"BuenHogar magazine, July 2004-Barbacoa Light",July 2004-Barbacoa Light BuenHogar magazine
8,,,,,,,,,,,,,,,not_found,Mi Diario de Barbacoas: Cuaderno Único para Registrar tus Barbacoas | Apunta el Tipo de Carne o Leña Utilizada Entre Otros Detalles | Regalo Perfecto ... de las Barbacoas o Asados,Diario de Barbacoa
9,,,,,,,,,,,,,,,not_found,Mis Barbacoas Cuaderno Para Registrar tus Geniales Barbacoas: Cuaderno Único para Registrar tus Barbacoas | Apunta el Tipo de Carne o Leña Utilizada ... de las Barbacoas o Asados,Diario de Barbacoa
10,AfArEAAAQBAJ,La barbacoa,,Toni García Ramón|Óscar Manresa,DEBATE,2021-06-17,es,317,Cooking,841800665X,9788418006654,9.99,EUR,http://books.google.com/books/content?id=AfArEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,title_author,La barbacoa,"Toni García Ramón,Oscar Manresa"
11,,,,,,,,,,,,,,,not_found,La barbacoa y el ahumado. Recetas rápidas y fáciles para jardín y balcón,"Petra Koch,David Link,Stefan Walter(Translator)"
12,,,,,,,,,,,,,,,not_found,Barbacoa (El Gran Libro Del Gourmet),"Matthew M. Vriends,Susaeta Ediciones(Illustrator)"
13,NFJVzwEACAAJ,Simplísimo doble : los libros de cocina + fáciles del mundo,,Jean-François Mallet,,2019-11,es,0,,8417720588,9788417720582,,,,title_author,Simplísimo. Las recetas de barbacoa + fáciles del mundo,"Jean-François Mallet,Imma Estany(Translator)"
14,7Vd7DwAAQBAJ,Barbacoa: BBQ Recetas: Recetas BBQ para Deliciosa y Sabrosa Barbacoa,,Aaron Wilson,Babelcube Inc.,2018-07-09,es,65,Cooking,1547539046,9781547539048,3.11,EUR,http://books.google.com/books/content?id=7Vd7DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,title_author,Barbacoa: BBQ Recetas: Recetas BBQ para Deliciosa y Sabrosa Barbacoa,"Aaron Wilson,R. Romano(Translator)"
15,6J8DAAAACAAJ,Pescado Y Marisco,,Maite Rodriguez Fischer|Blume,,2003-09,en,0,Cooking,848076435X,9788480764353,,,http://books.google.com/books/content?id=6J8DAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,title_author,Barbacoa (Cocina tendencias series) (Spanish Edition),Maite Rodríguez Fischer
16,XezXBQAAQBAJ,Barbacoa: Asado a la Ciencia,El primer enfoque verdaderamente científico a la tradición del asado.,Alejandro Medina B.,Pitmasters Chile,2014-12-15,es,64,,,,2.65,EUR,http://books.google.com/books/content?id=XezXBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,title_author,Barbacoa: Asado a la Ciencia: El primer enfoque científico a la tradición del asado.,"Alejandro Medina B.,Pamela Mayorga(Editor)"
17,,,,,,,,,,,,,,,not_found,Barbacoa: Nuestras 100 mejores recetas en un solo libro,Naumann & Göbel Verlag
18,riAlEAAAQBAJ,Entre brasas veggie,Del huerto a la barbacoa,Juan Manuel Benayas,Planeta Gastro,2021-04-28,es,371,Cooking,840824342X,9788408243427,9.99,EUR,http://books.google.com/books/content?id=riAlEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,title_author,Entre brasas veggie: Del huerto a la barbacoa,Juan Manuel Benayas
19,,,,,,,,,,,,,,,not_found,Una Barbacoa Peculiar: corto,Frank Mulero
20,yROgDwAAQBAJ,Economía de Barbacoa,,"Molina Mochón, Juan Antonio",Ediciones Díaz de Santos,2018-01-01,es,210,Business & Economics,8490521255,9788490521250,13,EUR,http://books.google.com/books/content?id=yROgDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,title_author,Economía de Barbacoa,Juan Antonio Molina Mochón
